Ship Mode,Region,Origin_Factory,Distance_Miles,Units,Delivery_Time_Days
Standard Class,Pacific,Lot's O' Nuts,1161.1671330014183,1,7
Standard Class,Pacific,Lot's O' Nuts,1161.1671330014183,7,6
Standard Class,Interior,Lot's O' Nuts,981.9658789246068,1,7
Second Class,Atlantic,Wicked Choccy's,913.2234896708183,4,3
Same Day,Pacific,Wicked Choccy's,2324.832329446283,5,0
Second Class,Atlantic,Lot's O' Nuts,2142.2345958934734,4,4
Standard Class,Interior,Wicked Choccy's,871.491412618307,5,6
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,2,7
Standard Class,Pacific,Lot's O' Nuts,55.52913704692538,1,5
Second Class,Pacific,Lot's O' Nuts,394.97435771587914,4,4
Standard Class,Interior,Lot's O' Nuts,1288.0422552893044,1,5
Second Class,Atlantic,Wicked Choccy's,721.4927883494037,6,4
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,4,5
Standard Class,Pacific,Wicked Choccy's,2319.2074409460147,3,7
Standard Class,Atlantic,Lot's O' Nuts,2046.5514801303018,4,6
Second Class,Atlantic,Lot's O' Nuts,2144.332624357945,6,4
Standard Class,Interior,Lot's O' Nuts,1696.8026779627803,2,5
Second Class,Atlantic,Wicked Choccy's,721.4927883494037,2,3
First Class,Pacific,Wicked Choccy's,2147.2087400803284,2,2
Second Class,Interior,Lot's O' Nuts,1520.8500792032396,5,5
Standard Class,Pacific,Wicked Choccy's,2399.7166796329857,2,5
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,3,5
Same Day,Pacific,Wicked Choccy's,2390.711820365501,5,0
Second Class,Atlantic,Wicked Choccy's,769.338854980212,9,3
Standard Class,Pacific,Lot's O' Nuts,1161.621416898878,1,6
First Class,Pacific,Wicked Choccy's,2354.810683422382,2,2
Standard Class,Atlantic,Lot's O' Nuts,981.9658789246068,6,6
Second Class,Atlantic,Lot's O' Nuts,2078.6537691730177,2,4
Standard Class,Pacific,Wicked Choccy's,2153.343062292087,2,7
Standard Class,Interior,Lot's O' Nuts,974.171375665286,3,7
Standard Class,Atlantic,Lot's O' Nuts,2078.6537691730177,3,6
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,7
Standard Class,Pacific,Lot's O' Nuts,691.0837284069044,3,5
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,5
Standard Class,Interior,Lot's O' Nuts,1042.8678768022864,4,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,11,6
Second Class,Pacific,Wicked Choccy's,2147.2087400803284,3,3
Second Class,Interior,Lot's O' Nuts,971.8937609924294,6,5
Standard Class,Atlantic,Lot's O' Nuts,2276.971470172552,1,6
Standard Class,Atlantic,Wicked Choccy's,564.5586692548826,7,7
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,1,5
Standard Class,Interior,Lot's O' Nuts,981.9658789246068,2,5
First Class,Pacific,Wicked Choccy's,2401.64471699006,8,2
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,3,5
Same Day,Gulf,Lot's O' Nuts,1779.7765334749345,7,0
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,2,6
Second Class,Pacific,Wicked Choccy's,2090.605947082451,5,5
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,2,6
Same Day,Gulf,Wicked Choccy's,127.59137146976987,2,0
Second Class,Interior,Wicked Choccy's,983.8216879188633,1,4
Second Class,Pacific,Lot's O' Nuts,450.35137197821376,2,3
Second Class,Pacific,Wicked Choccy's,2153.343062292087,3,4
Standard Class,Gulf,Lot's O' Nuts,1945.9945320108393,7,6
Standard Class,Atlantic,Wicked Choccy's,564.5586692548826,5,5
Standard Class,Interior,Lot's O' Nuts,872.928444195716,2,6
First Class,Atlantic,Wicked Choccy's,716.1677373489346,2,1
First Class,Interior,Wicked Choccy's,777.9035630989304,3,1
First Class,Interior,Lot's O' Nuts,1083.6001308874681,2,1
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,3,5
Second Class,Gulf,Lot's O' Nuts,1801.560667443377,5,4
Same Day,Pacific,Wicked Choccy's,2354.810683422382,1,0
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,2,5
Standard Class,Interior,Lot's O' Nuts,974.171375665286,3,5
First Class,Interior,Lot's O' Nuts,872.928444195716,1,2
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,3,6
Standard Class,Interior,Wicked Choccy's,869.5019688496079,2,6
Second Class,Gulf,Wicked Choccy's,283.60505886139345,2,5
Second Class,Interior,Lot's O' Nuts,1457.4325478617507,9,4
Standard Class,Gulf,Wicked Choccy's,435.82930738102635,1,6
Standard Class,Interior,Wicked Choccy's,767.3939549308957,7,7
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,2,6
Second Class,Interior,Lot's O' Nuts,974.171375665286,2,4
Standard Class,Atlantic,Wicked Choccy's,719.4714404454609,1,6
Standard Class,Gulf,Lot's O' Nuts,1573.867861428789,1,6
Second Class,Pacific,Lot's O' Nuts,1161.621416898878,3,5
First Class,Atlantic,Wicked Choccy's,559.6206133042095,11,2
Standard Class,Pacific,Secret Factory,1608.0137565956386,2,6
Second Class,Atlantic,Lot's O' Nuts,2078.6537691730177,4,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,4,5
Second Class,Gulf,Wicked Choccy's,127.59137146976987,3,5
Standard Class,Interior,Lot's O' Nuts,1685.5735451477588,8,5
Same Day,Gulf,Wicked Choccy's,540.4048564236693,11,0
First Class,Pacific,Lot's O' Nuts,378.36278410044537,1,1
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,1,7
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,3,6
Standard Class,Pacific,Wicked Choccy's,2396.323331217579,6,5
Standard Class,Interior,Secret Factory,154.65038386000177,5,6
Standard Class,Interior,The Other Factory,480.7855422274009,9,5
Standard Class,Interior,Wicked Choccy's,1050.3296448453177,3,7
Second Class,Atlantic,Wicked Choccy's,642.6091033973505,4,5
Second Class,Pacific,Wicked Choccy's,2153.343062292087,1,3
Same Day,Atlantic,Lot's O' Nuts,2078.6537691730177,7,0
Same Day,Interior,Wicked Choccy's,726.1783906538437,9,0
Standard Class,Interior,Lot's O' Nuts,1685.5735451477588,5,6
Standard Class,Pacific,Lot's O' Nuts,691.0837284069044,1,6
Standard Class,Pacific,Wicked Choccy's,2358.5047550682953,2,6
Standard Class,Pacific,Wicked Choccy's,2090.605947082451,9,6
Second Class,Pacific,Wicked Choccy's,2399.7166796329857,1,5
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,3,7
First Class,Atlantic,Lot's O' Nuts,2079.993373016822,2,1
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,2,7
Standard Class,Pacific,Wicked Choccy's,2157.0150241557785,2,7
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,6
Second Class,Pacific,Wicked Choccy's,1445.1848159034025,3,4
Second Class,Pacific,Wicked Choccy's,1484.067968159051,2,4
Standard Class,Atlantic,Wicked Choccy's,634.3251241137547,7,6
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,2,7
First Class,Atlantic,Lot's O' Nuts,2078.6537691730177,4,1
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,4,7
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,3,5
First Class,Pacific,Lot's O' Nuts,1044.0700002496699,1,2
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,3,6
Standard Class,Pacific,Wicked Choccy's,981.9658789246068,5,6
Second Class,Pacific,Wicked Choccy's,2149.8916730811757,3,5
Second Class,Pacific,Lot's O' Nuts,387.99286355234057,4,4
First Class,Atlantic,Wicked Choccy's,719.4714404454609,11,2
Standard Class,Pacific,Wicked Choccy's,2153.343062292087,1,7
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,3,5
Same Day,Pacific,Wicked Choccy's,2139.912332310119,4,0
Standard Class,Interior,Lot's O' Nuts,1230.4389152951694,8,5
Same Day,Pacific,Lot's O' Nuts,378.36278410044537,2,0
Standard Class,Pacific,Wicked Choccy's,2358.5047550682953,5,5
Standard Class,Atlantic,Wicked Choccy's,640.4214007710173,6,7
Standard Class,Interior,Wicked Choccy's,911.1149316980324,1,6
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,6,7
Same Day,Atlantic,Lot's O' Nuts,2152.485574217861,13,0
Standard Class,Atlantic,Wicked Choccy's,840.3566725224656,3,7
Standard Class,Interior,Lot's O' Nuts,1452.2797128658538,4,6
Second Class,Pacific,Lot's O' Nuts,394.97435771587914,2,3
Standard Class,Gulf,Lot's O' Nuts,1251.0144302069987,3,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,5,7
Standard Class,Interior,Lot's O' Nuts,974.171375665286,4,5
Standard Class,Pacific,Wicked Choccy's,2149.8916730811757,2,7
Standard Class,Interior,Lot's O' Nuts,1452.2797128658538,1,7
Second Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,4
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,4,6
Standard Class,Pacific,Lot's O' Nuts,450.35137197821376,14,6
Second Class,Pacific,Wicked Choccy's,2427.0665096165812,5,5
Standard Class,Pacific,Wicked Choccy's,2181.0148400959233,4,6
Second Class,Atlantic,Wicked Choccy's,634.3251241137547,6,3
Standard Class,Atlantic,Wicked Choccy's,719.4714404454609,2,5
Standard Class,Pacific,Lot's O' Nuts,318.25023703183496,1,7
Standard Class,Gulf,Lot's O' Nuts,1145.2576633312528,3,7
Standard Class,Gulf,Wicked Choccy's,217.9047881826417,2,6
First Class,Interior,Lot's O' Nuts,877.9242078050984,1,1
Second Class,Pacific,Wicked Choccy's,2354.839579523309,3,5
Standard Class,Atlantic,Lot's O' Nuts,2074.091779756445,2,5
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,3,5
Standard Class,Atlantic,Wicked Choccy's,518.008801031341,10,6
Standard Class,Interior,Wicked Choccy's,1067.7591908001498,1,7
First Class,Pacific,Wicked Choccy's,2399.6650051013826,3,1
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,2,5
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,6,7
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,3,5
Same Day,Interior,Lot's O' Nuts,971.8937609924294,1,0
Standard Class,Atlantic,Wicked Choccy's,702.5216708470596,3,6
Same Day,Interior,Lot's O' Nuts,971.8937609924294,2,0
Standard Class,Interior,Wicked Choccy's,849.6304200673889,1,5
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,9,7
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,5,6
Second Class,Atlantic,Lot's O' Nuts,2278.171359070492,2,3
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,6,5
Standard Class,Atlantic,Lot's O' Nuts,2078.6537691730177,2,6
Standard Class,Pacific,Wicked Choccy's,2149.8916730811757,1,6
First Class,Pacific,Lot's O' Nuts,691.0837284069044,6,1
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,7,7
Second Class,Interior,Lot's O' Nuts,1498.5728873425103,3,3
Second Class,Interior,Wicked Choccy's,599.5967721656373,2,4
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,6,5
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,4,6
Same Day,Pacific,Lot's O' Nuts,387.99286355234057,1,0
Standard Class,Pacific,Wicked Choccy's,2153.343062292087,2,6
First Class,Interior,The Other Factory,485.9662571135727,3,1
Second Class,Atlantic,Wicked Choccy's,559.6206133042095,1,4
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,2,6
First Class,Pacific,Lot's O' Nuts,1161.1671330014183,1,1
Standard Class,Atlantic,Lot's O' Nuts,2078.6537691730177,12,6
Second Class,Pacific,Lot's O' Nuts,688.8830311589684,3,5
Standard Class,Gulf,Wicked Choccy's,550.737121063811,1,7
Standard Class,Interior,Lot's O' Nuts,971.8937609924294,2,6
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,8,6
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,2,5
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,3,7
Standard Class,Pacific,Lot's O' Nuts,691.0837284069044,6,5
Standard Class,Pacific,Secret Factory,1704.9554624351508,2,6
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,5
Same Day,Interior,Secret Factory,704.5115566234003,2,0
Standard Class,Atlantic,Lot's O' Nuts,981.9658789246068,3,7
Standard Class,Interior,Wicked Choccy's,928.8851817098821,3,5
Standard Class,Interior,Lot's O' Nuts,856.7133315807187,6,7
Second Class,Pacific,Wicked Choccy's,2354.810683422382,14,4
First Class,Pacific,Secret Factory,1594.2560383938514,5,2
Second Class,Gulf,Lot's O' Nuts,1573.867861428789,2,4
Standard Class,Pacific,Wicked Choccy's,1801.5462282844405,2,7
Standard Class,Pacific,Lot's O' Nuts,658.162341508393,2,6
Standard Class,Gulf,Wicked Choccy's,536.5054753563431,2,6
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,1,6
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,2,6
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,2,7
Standard Class,Pacific,Lot's O' Nuts,1161.1671330014183,1,5
First Class,Atlantic,Wicked Choccy's,557.3396463454519,1,1
Same Day,Atlantic,Lot's O' Nuts,2079.993373016822,5,0
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,3,6
First Class,Atlantic,Lot's O' Nuts,2078.6537691730177,4,1
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,2,5
Standard Class,Pacific,The Other Factory,1607.5799885681279,2,6
Standard Class,Interior,Wicked Choccy's,871.8307495621052,2,6
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,1,5
Standard Class,Interior,Lot's O' Nuts,1083.6001308874681,2,7
Second Class,Interior,Lot's O' Nuts,1291.9602440935691,3,4
Second Class,Gulf,Lot's O' Nuts,2021.5050620892218,7,5
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,3,5
Standard Class,Atlantic,Lot's O' Nuts,1995.5725570877548,2,6
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,4,7
Standard Class,Interior,Wicked Choccy's,762.959591962414,6,6
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,11,5
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,5,7
First Class,Pacific,Wicked Choccy's,2399.6650051013826,1,1
First Class,Pacific,Lot's O' Nuts,1160.0360575936345,2,1
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,2,6
First Class,Interior,Wicked Choccy's,949.0099161972561,2,1
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,4,5
Standard Class,Gulf,Lot's O' Nuts,1425.1051618120948,2,5
First Class,Atlantic,Wicked Choccy's,715.9906920347423,4,1
First Class,Gulf,Lot's O' Nuts,2021.5050620892218,3,1
First Class,Interior,Wicked Choccy's,871.491412618307,3,2
Same Day,Pacific,Wicked Choccy's,2399.6650051013826,3,0
First Class,Interior,Secret Factory,848.2100043759893,5,2
Standard Class,Pacific,Lot's O' Nuts,318.25023703183496,2,5
Standard Class,Pacific,Secret Factory,1577.303425740486,9,7
Standard Class,Interior,Lot's O' Nuts,971.8937609924294,2,7
Standard Class,Pacific,Wicked Choccy's,2098.578256472988,8,7
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,2,7
Standard Class,Pacific,Wicked Choccy's,2098.578256472988,1,6
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,2,7
First Class,Atlantic,Lot's O' Nuts,2078.6537691730177,4,2
Standard Class,Pacific,Lot's O' Nuts,318.25023703183496,2,6
Standard Class,Atlantic,Wicked Choccy's,719.4714404454609,1,6
Second Class,Gulf,Lot's O' Nuts,1617.7950171271195,3,3
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,5,6
Standard Class,Pacific,Lot's O' Nuts,981.9658789246068,1,6
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,6,5
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,6,5
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,2,5
Standard Class,Pacific,Lot's O' Nuts,378.36278410044537,2,7
Standard Class,Atlantic,Wicked Choccy's,981.9658789246068,1,5
First Class,Pacific,Wicked Choccy's,2157.0150241557785,14,1
First Class,Interior,Lot's O' Nuts,831.7815923766899,1,2
Standard Class,Pacific,Wicked Choccy's,2157.0150241557785,1,6
Second Class,Atlantic,Lot's O' Nuts,2144.332624357945,1,3
Second Class,Pacific,Wicked Choccy's,2147.2087400803284,3,5
Standard Class,Pacific,Lot's O' Nuts,1160.0360575936345,3,5
First Class,Pacific,Wicked Choccy's,2157.0150241557785,7,1
First Class,Pacific,Lot's O' Nuts,394.97435771587914,3,1
Standard Class,Interior,Wicked Choccy's,874.8008207460541,8,5
Standard Class,Atlantic,Wicked Choccy's,619.1946532419481,1,5
Standard Class,Atlantic,Lot's O' Nuts,1756.2757785425015,2,5
Standard Class,Atlantic,Lot's O' Nuts,2080.3163308991593,4,7
Standard Class,Atlantic,Secret Factory,812.3415382658054,2,7
Standard Class,Interior,Lot's O' Nuts,974.171375665286,6,6
Standard Class,Interior,Lot's O' Nuts,1397.7164193628423,1,7
Standard Class,Atlantic,Wicked Choccy's,872.7357215516676,2,5
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,3,6
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,6,6
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,2,6
First Class,Atlantic,Wicked Choccy's,894.5698766487959,2,1
Second Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,5
Second Class,Atlantic,Lot's O' Nuts,2141.889502951955,1,3
Standard Class,Pacific,Lot's O' Nuts,1161.1671330014183,3,6
Standard Class,Interior,Lot's O' Nuts,1160.7743641449697,5,5
Standard Class,Interior,Lot's O' Nuts,1160.7743641449697,3,5
Standard Class,Interior,Wicked Choccy's,912.8629825958008,3,7
Standard Class,Pacific,Wicked Choccy's,2399.7166796329857,2,7
Standard Class,Interior,Lot's O' Nuts,870.684569023748,5,6
First Class,Pacific,Lot's O' Nuts,385.46609669761943,4,1
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,3,5
Standard Class,Interior,Wicked Choccy's,874.8008207460541,1,7
Second Class,Gulf,Lot's O' Nuts,1635.3450441421626,3,3
Same Day,Atlantic,Wicked Choccy's,670.1184854744016,9,0
Same Day,Atlantic,Lot's O' Nuts,2067.59269060461,4,0
Standard Class,Gulf,Wicked Choccy's,425.3022370791962,1,5
Second Class,Pacific,Wicked Choccy's,2149.8916730811757,6,3
Second Class,Atlantic,Wicked Choccy's,721.4927883494037,2,5
Same Day,Atlantic,Lot's O' Nuts,2067.59269060461,3,0
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,9,6
Standard Class,Gulf,Wicked Choccy's,368.9727870171092,10,6
Same Day,Interior,Lot's O' Nuts,971.8937609924294,6,0
Same Day,Atlantic,Wicked Choccy's,670.1184854744016,2,0
Standard Class,Pacific,Lot's O' Nuts,309.4383475608288,2,5
Standard Class,Pacific,Lot's O' Nuts,646.1673629212346,7,6
Standard Class,Pacific,Wicked Choccy's,2401.64471699006,4,7
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,3,7
Second Class,Pacific,Lot's O' Nuts,601.4970491477014,5,4
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,2,6
Second Class,Pacific,Lot's O' Nuts,601.4970491477014,3,3
First Class,Interior,Wicked Choccy's,874.8008207460541,9,2
Standard Class,Pacific,Wicked Choccy's,2354.810683422382,2,5
Same Day,Atlantic,Wicked Choccy's,721.4927883494037,8,0
First Class,Gulf,Lot's O' Nuts,1558.6730885753404,2,1
Standard Class,Pacific,Wicked Choccy's,2098.578256472988,2,7
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,5,7
Standard Class,Atlantic,Lot's O' Nuts,981.9658789246068,1,7
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,5,7
First Class,Interior,Lot's O' Nuts,974.171375665286,3,2
Standard Class,Pacific,Wicked Choccy's,2098.578256472988,1,7
First Class,Atlantic,Wicked Choccy's,531.6251314121665,2,2
Second Class,Gulf,Lot's O' Nuts,1954.6365402967801,8,4
Standard Class,Atlantic,Wicked Choccy's,534.7901065128382,2,7
Standard Class,Atlantic,Wicked Choccy's,534.7901065128382,1,6
Same Day,Gulf,Sugar Shack,1766.9511196589935,7,0
First Class,Interior,Wicked Choccy's,869.5019688496079,5,1
First Class,Interior,Secret Factory,840.438118803178,2,2
Standard Class,Interior,Wicked Choccy's,871.491412618307,4,6
Second Class,Interior,Lot's O' Nuts,971.8937609924294,3,4
Second Class,Gulf,The Other Factory,860.768874969211,4,5
First Class,Interior,Lot's O' Nuts,974.171375665286,2,2
Second Class,Gulf,Lot's O' Nuts,1954.6365402967801,3,4
Standard Class,Atlantic,Wicked Choccy's,721.4927883494037,3,5
First Class,Gulf,Secret Factory,1033.98187164985,7,1
Same Day,Gulf,Lot's O' Nuts,1451.389360455059,1,0
First Class,Pacific,Wicked Choccy's,2354.810683422382,2,1
Same Day,Atlantic,Lot's O' Nuts,2144.332624357945,1,0
First Class,Atlantic,Lot's O' Nuts,1659.6954545639803,3,2
First Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,1
First Class,Pacific,Lot's O' Nuts,394.97435771587914,3,2
First Class,Pacific,Lot's O' Nuts,394.97435771587914,2,2
Second Class,Atlantic,Lot's O' Nuts,2142.2345958934734,2,3
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,2,7
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,7,6
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,4,7
Same Day,Gulf,Wicked Choccy's,410.2733449690291,1,0
Standard Class,Pacific,Wicked Choccy's,2157.0150241557785,4,6
First Class,Atlantic,Wicked Choccy's,956.5317201570504,2,1
Second Class,Pacific,Wicked Choccy's,2147.2087400803284,4,5
Standard Class,Atlantic,Lot's O' Nuts,2067.59269060461,5,7
Second Class,Pacific,Lot's O' Nuts,387.99286355234057,6,4
First Class,Interior,Lot's O' Nuts,1456.7435840913759,2,1
First Class,Interior,Wicked Choccy's,871.8307495621052,4,2
Second Class,Pacific,Wicked Choccy's,2149.918618478605,1,4
Same Day,Atlantic,Lot's O' Nuts,2074.091779756445,1,0
Standard Class,Gulf,Lot's O' Nuts,1249.702106822108,4,6
Standard Class,Interior,Wicked Choccy's,768.5044899184401,2,6
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,4,5
Standard Class,Interior,Lot's O' Nuts,1160.7274067380379,2,6
Standard Class,Interior,Lot's O' Nuts,1160.7274067380379,3,7
Standard Class,Interior,Lot's O' Nuts,1498.5728873425103,2,5
Second Class,Atlantic,Wicked Choccy's,858.3521577213662,3,5
Same Day,Pacific,Lot's O' Nuts,318.25023703183496,5,0
Second Class,Pacific,Lot's O' Nuts,386.83003298734036,1,3
Second Class,Interior,Lot's O' Nuts,1457.4325478617507,5,4
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,8,5
Same Day,Pacific,Lot's O' Nuts,981.2928829843916,7,0
First Class,Pacific,Lot's O' Nuts,378.36278410044537,6,1
Standard Class,Pacific,Wicked Choccy's,2358.5047550682953,1,7
Second Class,Pacific,Lot's O' Nuts,1161.621416898878,2,5
Second Class,Pacific,Lot's O' Nuts,394.97435771587914,2,4
Standard Class,Atlantic,Wicked Choccy's,721.4927883494037,7,5
Standard Class,Interior,Wicked Choccy's,762.959591962414,1,5
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,6,5
Standard Class,Atlantic,Lot's O' Nuts,2063.686727595679,3,6
Standard Class,Atlantic,Lot's O' Nuts,2063.686727595679,4,6
Standard Class,Atlantic,Wicked Choccy's,665.9276792642037,2,6
Standard Class,Atlantic,Wicked Choccy's,719.4714404454609,3,6
Standard Class,Interior,Wicked Choccy's,762.959591962414,5,6
Second Class,Pacific,Wicked Choccy's,2401.64471699006,2,5
First Class,Gulf,Lot's O' Nuts,1954.6365402967801,3,1
Standard Class,Interior,Wicked Choccy's,762.959591962414,3,5
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,3,5
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,2,5
First Class,Pacific,Lot's O' Nuts,359.02341703919166,3,2
Second Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,3
First Class,Atlantic,Wicked Choccy's,715.9906920347423,3,1
Standard Class,Interior,Lot's O' Nuts,1457.4325478617507,3,5
First Class,Interior,Wicked Choccy's,762.959591962414,1,1
First Class,Atlantic,Wicked Choccy's,981.9658789246068,1,1
First Class,Pacific,Lot's O' Nuts,1160.0360575936345,3,1
Same Day,Pacific,Lot's O' Nuts,468.7213151189553,14,0
Same Day,Atlantic,Wicked Choccy's,716.1677373489346,2,0
Second Class,Pacific,Wicked Choccy's,2399.6650051013826,2,5
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,12,6
Standard Class,Interior,Lot's O' Nuts,981.9658789246068,5,5
Same Day,Atlantic,Lot's O' Nuts,2079.993373016822,7,0
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,9,6
Second Class,Pacific,Lot's O' Nuts,691.0837284069044,1,4
Same Day,Interior,Wicked Choccy's,909.6036475036664,6,0
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,9,6
Standard Class,Atlantic,Lot's O' Nuts,1995.5725570877548,6,7
Standard Class,Gulf,Wicked Choccy's,424.20759145714925,6,6
Standard Class,Atlantic,The Other Factory,878.1624604441688,2,6
Standard Class,Gulf,Lot's O' Nuts,1446.305960099078,3,6
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,4,5
Second Class,Atlantic,Lot's O' Nuts,2141.889502951955,1,3
Second Class,Pacific,Lot's O' Nuts,386.83003298734036,4,5
Same Day,Pacific,Lot's O' Nuts,1160.0360575936345,2,0
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,1,7
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,2,5
Standard Class,Atlantic,Wicked Choccy's,981.9658789246068,2,7
Standard Class,Interior,Wicked Choccy's,874.8008207460541,8,5
Standard Class,Interior,Lot's O' Nuts,971.8937609924294,9,6
Standard Class,Interior,Lot's O' Nuts,1001.5225773119765,3,6
Standard Class,Gulf,The Other Factory,755.1134068722513,3,7
First Class,Pacific,Wicked Choccy's,2387.8214458590232,4,1
Standard Class,Atlantic,Wicked Choccy's,718.2857916936638,5,5
Standard Class,Atlantic,Wicked Choccy's,563.1603900563654,1,7
First Class,Atlantic,Lot's O' Nuts,2080.3163308991593,2,1
Standard Class,Interior,Lot's O' Nuts,1470.9466443136298,3,6
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,2,7
Second Class,Pacific,Wicked Choccy's,2396.323331217579,7,5
Same Day,Pacific,Wicked Choccy's,2149.918618478605,2,0
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,2,5
Standard Class,Interior,Wicked Choccy's,995.4066217213552,1,7
Standard Class,Gulf,Wicked Choccy's,439.5835394725931,1,5
Same Day,Gulf,Wicked Choccy's,425.3022370791962,6,0
Standard Class,Pacific,Lot's O' Nuts,685.9175738325433,3,5
Standard Class,Pacific,Wicked Choccy's,2332.5411223805427,2,5
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,3,5
Standard Class,Pacific,Lot's O' Nuts,309.4383475608288,4,5
Second Class,Interior,Wicked Choccy's,871.8307495621052,9,5
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,1,6
Standard Class,Gulf,The Other Factory,664.9013317162829,3,6
